Date,Value
2018-03-31,2385.0
2018-02-28,2384.0
2018-01-31,2372.0
2017-12-31,2357.0
2017-11-30,2344.0
2017-10-31,2339.0
2017-09-30,2345.0
2017-08-31,2362.0
2017-07-31,2376.0
2017-06-30,2390.0
2017-05-31,2399.0
2017-04-30,2415.0
2017-03-31,2419.0
2017-02-28,2428.0
2017-01-31,2426.0
2016-12-31,2423.0
2016-11-30,2420.0
2016-10-31,2412.0
2016-09-30,2400.0
2016-08-31,2395.0
2016-07-31,2395.0
2016-06-30,2394.0
2016-05-31,2377.0
2016-04-30,2355.0
2016-03-31,2336.0
2016-02-29,2341.0
2016-01-31,2361.0
2015-12-31,2376.0
2015-11-30,2375.0
2015-10-31,2352.0
2015-09-30,2321.0
2015-08-31,2298.0
2015-07-31,2283.0
2015-06-30,2274.0
2015-05-31,2269.0
2015-04-30,2259.0
2015-03-31,2246.0
2015-02-28,2241.0
2015-01-31,2240.0
2014-12-31,2237.0
2014-11-30,2232.0
2014-10-31,2223.0
2014-09-30,2215.0
2014-08-31,2203.0
2014-07-31,2196.0
2014-06-30,2197.0
2014-05-31,2196.0
2014-04-30,2193.0
2014-03-31,2175.0
2014-02-28,2149.0
2014-01-31,2110.0
2013-12-31,2070.0
2013-11-30,2047.0
2013-10-31,2027.0
2013-09-30,2026.0
2013-08-31,2018.0
2013-07-31,2005.0
2013-06-30,1985.0
2013-05-31,1984.0
2013-04-30,1982.0
2013-03-31,1979.0
2013-02-28,1968.0
2013-01-31,1969.0
2012-12-31,1982.0
2012-11-30,1998.0
2012-10-31,2008.0
2012-09-30,2015.0
2012-08-31,2009.0
2012-07-31,1996.0
2012-06-30,1979.0
2012-05-31,1965.0
2012-04-30,1950.0
2012-03-31,1939.0
2012-02-29,1939.0
2012-01-31,1945.0
2011-12-31,1950.0
2011-11-30,1958.0
2011-10-31,1956.0
2011-09-30,1966.0
2011-08-31,1976.0
2011-07-31,1982.0
2011-06-30,1985.0
2011-05-31,1980.0
2011-04-30,1984.0
2011-03-31,1984.0
2011-02-28,1989.0
2011-01-31,1981.0
2010-12-31,1971.0
2010-11-30,1953.0
